['Level', 'Floor', 'Pool', 'Garage', 'Garden']	Test Error: [0.24923226]
['Level', 'Floor', 'Pool', 'Garage', 'Age']	Test Error: [0.24858685]
['Level', 'Floor', 'Pool', 'Garage', 'Theater']	Test Error: [0.24890618]
['Level', 'Floor', 'Pool', 'Garden', 'Age']	Test Error: [0.25593312]
['Level', 'Floor', 'Pool', 'Garden', 'Theater']	Test Error: [0.25196309]
['Level', 'Floor', 'Pool', 'Age', 'Theater']	Test Error: [0.25534068]
['Level', 'Floor', 'Garage', 'Garden', 'Age']	Test Error: [0.24903525]
['Level', 'Floor', 'Garage', 'Garden', 'Theater']	Test Error: [0.24924489]
['Level', 'Floor', 'Garage', 'Age', 'Theater']	Test Error: [0.24863086]
['Level', 'Floor', 'Garden', 'Age', 'Theater']	Test Error: [0.25599176]
['Level', 'Rooms', 'Pool', 'Garage', 'Garden']	Test Error: [0.2504496]
['Level', 'Rooms', 'Pool', 'Garage', 'Age']	Test Error: [0.25005633]
['Level', 'Rooms', 'Pool', 'Garage', 'Theater']	Test Error: [0.25014013]
['Level', 'Rooms', 'Pool', 'Garden', 'Age']	Test Error: [0.25717044]
['Level', 'Rooms', 'Pool', 'Garden', 'Theater']	Test Error: [0.25333696]
['Level', 'Rooms', 'Pool', 'Age', 'Theater']	Test Error: [0.25657077]
['Level', 'Rooms', 'Garage', 'Garden', 'Age']	Test Error: [0.25054022]
['Level', 'Rooms', 'Garage', 'Garden', 'Theater']	Test Error: [0.25047086]
['Level', 'Rooms', 'Garage', 'Age', 'Theater']	Test Error: [0.25011999]
['Level', 'Rooms', 'Garden', 'Age', 'Theater']	Test Error: [0.25723568]
['Level', 'Pool', 'Garage', 'Garden', 'Age']	Test Error: [0.23819517]
['Level', 'Pool', 'Garage', 'Garden', 'Theater']	Test Error: [0.243488]
['Level', 'Pool', 'Garage', 'Age', 'Theater']	Test Error: [0.23784491]
['Level', 'Pool', 'Garden', 'Age', 'Theater']	Test Error: [0.24168446]
['Level', 'Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.23814312]
['Area', 'Floor', 'Rooms', 'Pool', 'Garage']	Test Error: [0.19388206]
['Area', 'Floor', 'Rooms', 'Pool', 'Garden']	Test Error: [0.19395018]
['Area', 'Floor', 'Rooms', 'Pool', 'Age']	Test Error: [0.18862496]
['Area', 'Floor', 'Rooms', 'Pool', 'Theater']	Test Error: [0.19396696]
['Area', 'Floor', 'Rooms', 'Garage', 'Garden']	Test Error: [0.19386334]
['Area', 'Floor', 'Rooms', 'Garage', 'Age']	Test Error: [0.18854166]
['Area', 'Floor', 'Rooms', 'Garage', 'Theater']	Test Error: [0.19387748]
['Area', 'Floor', 'Rooms', 'Garden', 'Age']	Test Error: [0.18860504]
['Area', 'Floor', 'Rooms', 'Garden', 'Theater']	Test Error: [0.19394165]
['Area', 'Floor', 'Rooms', 'Age', 'Theater']	Test Error: [0.18861177]
['Area', 'Floor', 'Pool', 'Garage', 'Garden']	Test Error: [0.19465029]
['Area', 'Floor', 'Pool', 'Garage', 'Age']	Test Error: [0.18944922]
['Area', 'Floor', 'Pool', 'Garage', 'Theater']	Test Error: [0.1946751]
['Area', 'Floor', 'Pool', 'Garden', 'Age']	Test Error: [0.1896036]
['Area', 'Floor', 'Pool', 'Garden', 'Theater']	Test Error: [0.19479543]
['Area', 'Floor', 'Pool', 'Age', 'Theater']	Test Error: [0.1896417]
['Area', 'Floor', 'Garage', 'Garden', 'Age']	Test Error: [0.18939869]
['Area', 'Floor', 'Garage', 'Garden', 'Theater']	Test Error: [0.19463411]
['Area', 'Floor', 'Garage', 'Age', 'Theater']	Test Error: [0.18942572]
['Area', 'Floor', 'Garden', 'Age', 'Theater']	Test Error: [0.18957577]
['Area', 'Rooms', 'Pool', 'Garage', 'Garden']	Test Error: [0.19584879]
['Area', 'Rooms', 'Pool', 'Garage', 'Age']	Test Error: [0.19045245]
['Area', 'Rooms', 'Pool', 'Garage', 'Theater']	Test Error: [0.1958603]
['Area', 'Rooms', 'Pool', 'Garden', 'Age']	Test Error: [0.19052575]
['Area', 'Rooms', 'Pool', 'Garden', 'Theater']	Test Error: [0.19593204]
['Area', 'Rooms', 'Pool', 'Age', 'Theater']	Test Error: [0.1905385]
['Area', 'Rooms', 'Garage', 'Garden', 'Age']	Test Error: [0.19043323]
['Area', 'Rooms', 'Garage', 'Garden', 'Theater']	Test Error: [0.19584649]
['Area', 'Rooms', 'Garage', 'Age', 'Theater']	Test Error: [0.19043976]
['Area', 'Rooms', 'Garden', 'Age', 'Theater']	Test Error: [0.19051089]
['Area', 'Pool', 'Garage', 'Garden', 'Age']	Test Error: [0.19130806]
['Area', 'Pool', 'Garage', 'Garden', 'Theater']	Test Error: [0.19660611]
['Area', 'Pool', 'Garage', 'Age', 'Theater']	Test Error: [0.19133396]
['Area', 'Pool', 'Garden', 'Age', 'Theater']	Test Error: [0.19147726]
['Area', 'Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.19128673]
['Floor', 'Rooms', 'Pool', 'Garage', 'Garden']	Test Error: [0.29000223]
['Floor', 'Rooms', 'Pool', 'Garage', 'Age']	Test Error: [0.29716579]
['Floor', 'Rooms', 'Pool', 'Garage', 'Theater']	Test Error: [0.28984985]
['Floor', 'Rooms', 'Pool', 'Garden', 'Age']	Test Error: [0.30481141]
['Floor', 'Rooms', 'Pool', 'Garden', 'Theater']	Test Error: [0.2943684]
['Floor', 'Rooms', 'Pool', 'Age', 'Theater']	Test Error: [0.30434615]
